Número de comprobante,Aciertos,Acreditado,Detalles
6,55,,
53,85,,
61,61,,
67,77,,
99,41,,
124,93,,
140,60,,
160,37,,
164,38,,
178,53,,
210,42,,
215,42,,
227,46,,
264,,N,
351,77,,
388,,N,
390,96,,
401,64,,
407,107,S,
417,75,,
441,68,,
447,32,,
464,51,,
472,35,,
499,62,,
508,81,,
526,,N,
543,,N,
586,94,,
672,36,,
708,55,,
735,,N,
739,54,,
752,66,,
766,78,,
773,,N,
817,65,,
914,83,,
926,66,,
1168,53,,
1230,,N,
1243,53,,
1270,48,,
1300,60,,
1332,49,,
1455,,N,
1513,83,,
1550,108,S,Cita para entregar documentación.
1598,43,,
1662,,N,
1712,102,,
1842,47,,
1844,55,,
2049,101,,
2094,42,,
2095,,N,
2117,84,,
2123,50,,
2132,79,,
2179,66,,
2201,,N,
2244,111,S,Cita para entregar documentación.
2266,74,,
2275,76,,
2290,95,,
2307,45,,
2309,73,,
2315,110,S,Cita para entregar documentación.
2325,,N,
2326,95,,
2346,51,,
2370,,N,
2382,86,,
2383,106,S,
2409,106,S,Cita para entregar documentación.
2459,63,,
2551,52,,
2561,27,,
2576,114,S,Cita para entregar documentación.
2577,68,,
2588,31,,
2590,70,,
2615,,N,
2647,65,,
2656,59,,
2662,92,,
2663,106,S,Cita para entregar documentación.
2733,59,,
2774,69,,
2807,114,S,
2823,68,,
2830,56,,
2842,,N,
2845,,N,
2886,76,,
2888,79,,
2889,46,,
2912,57,,
2921,,N,
2928,,N,
2956,77,,
3061,71,,
3087,109,S,Cita para entregar documentación.
3109,39,,
3117,,N,
3124,114,S,
3157,103,,
3173,71,,
3198,69,,
3222,43,,
3243,46,,
3246,114,S,
3255,48,,
3264,102,,
3286,34,,
3310,87,,
3343,110,S,Cita para entregar documentación.
3346,,N,
3368,35,,
3393,76,,
3435,31,,
3454,36,,
3461,69,,
3471,,N,
3491,,,Cita para aclarar situación escolar.
3502,78,,
3528,101,,
3533,52,,
3543,67,,
3548,56,,
3591,62,,
3594,38,,
3627,,N,
3636,,N,
3716,94,,
3730,41,,
3740,57,,
3742,112,S,Cita para entregar documentación.
3793,,N,
3860,55,,
3890,82,,
3971,100,,
3977,88,,
3981,,N,
3995,79,,
4004,86,,
4007,57,,
4008,59,,
4011,,,Cita para aclarar situación escolar.
4033,,N,
4046,42,,
4092,,N,
4146,25,,
4182,85,,
4187,41,,
4195,39,,
4218,75,,
4234,59,,
4238,64,,
4292,54,,
4294,,N,
4409,73,,
4460,,N,
4470,62,,
4519,,,Cita para aclarar situación escolar.
4542,88,,
4554,61,,
4591,36,,
4607,47,,
4667,47,,
4672,64,,
4728,,N,
4800,75,,
4814,106,S,
4829,48,,
4843,83,,
4853,,N,
4893,53,,
4923,46,,
4935,,N,
4958,56,,
4995,84,,
4997,72,,
5005,39,,
