Número de comprobante,Aciertos,Acreditado,Detalles
248,53,,
420,74,,
485,91,S,
487,,,Cita para aclarar situación escolar.
528,64,,
552,80,S,Cita para entregar documentación.
893,63,,
896,38,,
942,88,S,Cita para entregar documentación.
963,39,,
982,56,,
1012,48,,
1036,66,,
1125,73,,
1192,58,,
1195,25,,
1215,89,S,
1258,95,S,Cita para entregar documentación.
1264,47,,
1272,35,,
1298,43,,
1534,34,,
1659,62,,
1952,74,,
1998,52,,
2079,,N,
2098,48,,
2133,,N,
2232,72,,
2343,51,,
2412,54,,
2455,38,,
2562,73,,
2584,50,,
2594,79,S,Cita para entregar documentación.
2599,45,,
2625,97,S,
2655,61,,
2749,37,,
2779,32,,
2806,72,,
2828,67,,
2871,70,,
3011,31,,
3040,94,S,
3048,44,,
3157,61,,
3203,49,,
3686,31,,
3742,35,,
3869,53,,
4175,68,,
4231,64,,
4245,,N,
4328,78,S,
4336,79,S,
4379,37,,
4398,36,,
4527,42,,
4544,34,,
4771,,N,
4776,48,,
4781,,N,
4870,39,,
4959,,N,
4962,61,,
5008,46,,
5042,49,,
5045,44,,
5136,30,,
5274,42,,
5421,42,,
5510,66,,
5548,44,,
5587,58,,
5648,40,,
5788,32,,
5804,44,,
5898,76,S,Cita para entregar documentación.
5954,52,,
6013,61,,
6130,42,,
6447,40,,
6543,85,S,
6793,43,,
6868,,N,
6879,34,,
6940,100,S,Cita para entregar documentación.
6957,34,,
7139,47,,
7166,40,,
7272,68,,
7732,56,,
7820,44,,
7842,45,,
7953,60,,
7971,,N,
8076,45,,
8394,49,,
8410,45,,
8426,71,,
8431,38,,
8439,28,,
8466,61,,
8514,16,,
8563,44,,
8595,49,,
9109,48,,
9172,50,,
9267,39,,
9378,,N,
9433,38,,
9494,30,,
9515,55,,
9533,43,,
9541,41,,
10139,52,,
10199,47,,
10209,49,,
10321,36,,
10322,64,,
10326,39,,
10351,54,,
10401,60,,
10405,,N,
10431,,N,
10438,76,S,Cita para entregar documentación.
10473,70,,
10511,101,S,
10535,68,,
10656,36,,
10657,41,,
10663,54,,
10748,,,Cita para aclarar situación escolar.
10753,32,,
10833,57,,
10922,52,,
10944,66,,
10964,42,,
10983,42,,
11043,24,,
11176,50,,
11183,39,,
11206,52,,
12369,60,,
12661,44,,
12754,61,,
12849,41,,
13063,41,,
13137,60,,
13141,,N,
13193,53,,
13259,,N,
13353,76,S,Cita para entregar documentación.
13359,31,,
13364,59,,
13494,50,,
13502,52,,
13524,40,,
13653,53,,
13665,68,,
13984,44,,
14043,68,,
14223,51,,
14276,41,,
14323,,N,
14488,76,S,Cita para entregar documentación.
14491,30,,
14558,53,,
14614,,N,
14682,41,,
14766,83,S,Cita para entregar documentación.
14867,33,,
15015,,N,
15052,36,,
15078,36,,
15081,27,,
15208,,N,
15215,15,,
15239,36,,
15341,37,,
15434,49,,
15671,,N,
15792,,N,
15817,30,,
15867,,N,
15957,33,,
16164,38,,
16177,78,S,
16213,,N,
16291,40,,
16312,54,,
16346,40,,
16360,67,,
16448,39,,
16529,,N,
16595,62,,
16730,,N,
16778,46,,
17076,55,,
17077,75,,
17081,53,,
17266,35,,
17313,66,,
17317,38,,
17472,57,,
17577,54,,
17897,41,,
18375,26,,
18458,74,,
18617,52,,
18667,25,,
18788,52,,
18793,62,,
18863,32,,
18876,75,,
19032,49,,
19238,44,,
19251,35,,
19267,49,,
19362,51,,
19365,33,,
19454,26,,
19521,48,,
19559,64,,
19646,,N,
19652,38,,
19746,56,,
19932,50,,
20009,98,S,Cita para entregar documentación.
20094,29,,
20125,43,,
20230,55,,
20426,58,,
20453,35,,
20463,54,,
20487,44,,
20555,65,,
20647,49,,
20742,43,,
20807,70,,
20889,49,,
20900,35,,
21003,42,,
21055,53,,
21078,58,,
21174,53,,
21179,39,,
21216,50,,
21325,62,,
21578,55,,
21771,37,,
22159,46,,
22402,35,,
22535,57,,
22633,53,,
22658,62,,
22727,49,,
22769,45,,
22778,62,,
22798,68,,
22909,59,,
23144,49,,
23349,58,,
23698,,N,
23789,55,,
23793,48,,
23816,43,,
23929,74,,
24234,54,,
24607,91,S,Cita para entregar documentación.
25078,,N,
25172,,N,
25200,51,,
25333,70,,
25420,28,,
25445,76,S,Cita para entregar documentación.
25475,38,,
25534,42,,
25880,42,,
26304,40,,
26428,54,,
26460,41,,
26498,,N,
26746,38,,
26909,,N,
26935,34,,
27061,47,,
27172,30,,
27571,36,,
27838,87,S,Cita para entregar documentación.
27854,32,,
27969,60,,
28025,45,,
28083,30,,
28392,59,,
28406,58,,
28416,,N,
28541,45,,
28562,46,,
28578,50,,
28739,27,,
28846,44,,
28867,57,,
28948,,N,
28972,87,S,Cita para entregar documentación.
29085,34,,
29274,42,,
29493,42,,
30000,77,S,
30080,37,,
30197,77,S,
30220,,N,
30255,57,,
30273,45,,
30390,49,,
30393,64,,
30414,58,,
30485,75,,
30516,40,,
30575,58,,
30621,56,,
30688,56,,
30748,41,,
31069,58,,
31271,92,S,Cita para entregar documentación.
31639,43,,
31647,69,,
31978,68,,
32004,39,,
32683,63,,
32778,46,,
33135,,N,
33309,,N,
33469,,N,
33546,,N,
33632,,N,
34159,26,,
34284,39,,
34330,,N,
34379,,N,
34386,,N,
34392,42,,
34534,60,,
34665,76,S,Cita para entregar documentación.
34900,,N,
35121,,N,
35916,,N,
36076,,N,
36492,40,,
37345,44,,
37466,47,,
37488,51,,
37507,,N,
