Número de comprobante,Aciertos,Acreditado,Detalles,Diagnóstico
3,101,S,,
14,42,,,
25,,N,,
36,76,,,
37,60,,,
44,113,S,Cita para entregar documentación.,
65,58,,,
70,104,S,Cita para entregar documentación.,
77,81,,,
85,91,,,
86,65,,,
92,66,,,
93,40,,,
94,,N,,
98,,N,,
109,101,S,Cita para entregar documentación.,
114,97,S,Cita para entregar documentación.,
126,80,,,
133,50,,,
146,42,,,
156,116,S,Cita para entregar documentación.,
176,98,S,Cita para entregar documentación.,
179,,N,,
181,65,,,
183,52,,,
197,,N,,
198,37,,,
206,55,,,
214,93,,,
215,66,,,
226,44,,,
231,51,,,
233,113,S,Cita para entregar documentación.,
235,45,,,
242,47,,,
246,89,,,
249,76,,,
255,42,,,
259,83,,,
267,56,,,
269,105,S,Cita para entregar documentación.,
277,90,,,
285,44,,,
286,43,,,
297,41,,,
304,52,,,
308,99,S,Cita para entregar documentación.,
311,74,,,
313,,N,,
321,109,S,Cita para entregar documentación.,
327,89,,,
336,43,,,
338,61,,,
347,104,S,Cita para entregar documentación.,
355,109,S,Cita para entregar documentación.,
358,,N,,
378,,N,,
414,47,,,
426,57,,,
427,40,,,
429,40,,,
432,23,,,
435,58,,,
445,106,S,Cita para entregar documentación.,
467,84,,,
471,50,,,
476,32,,,
478,59,,,
486,35,,,
516,40,,,
539,,N,,
549,,N,,
555,83,,,
565,77,,,
578,50,,,
582,31,,,
589,53,,,
591,28,,,
593,47,,,
607,98,S,,
624,61,,,
637,36,,,
645,31,,,
647,41,,,
650,56,,,
659,57,,,
668,46,,,
674,37,,,
683,53,,,
685,41,,,
695,46,,,
701,37,,,
704,77,,,
715,53,,,
721,42,,,
734,31,,,
749,65,,,
763,50,,,
764,43,,,
774,33,,,
812,41,,,
815,36,,,
820,30,,,
850,43,,,
863,34,,,
894,,N,,
912,40,,,
914,74,,,
934,31,,,
936,62,,,
947,50,,,
952,107,S,Cita para entregar documentación.,
957,48,,,
958,33,,,
971,41,,,
984,47,,,
994,40,,,
1019,59,,,
1023,78,,,
1042,57,,,
1053,58,,,
1056,84,,,
1084,45,,,
1092,32,,,
1111,54,,,
1133,32,,,
1137,38,,,
1155,84,,,
1161,65,,,
1171,,N,,
1176,61,,,
1179,60,,,
1190,92,,,
1199,35,,,
1206,36,,,
1211,50,,,
1212,54,,,
1214,71,,,
1217,57,,,
1225,43,,,
1235,54,,,
1257,62,,,
1265,46,,,
1271,70,,,
1272,29,,,
1275,65,,,
1277,,N,,
1285,,N,,
1307,30,,,
1309,,N,,
1310,40,,,
1314,47,,,
1316,37,,,
1318,,N,,
1319,43,,,
1331,36,,,
1333,30,,,
1353,34,,,
1357,34,,,
1360,55,,,
1362,34,,,
1370,40,,,
1375,,N,,
1392,48,,,
1394,46,,,
1398,36,,,
1409,68,,,
1411,45,,,
1418,67,,,
1430,60,,,
1437,60,,,
1450,80,,,
1471,54,,,
1483,56,,,
1484,44,,,
1500,35,,,
1507,45,,,
1508,63,,,
1518,43,,,
1519,67,,,
1525,83,,,
1529,47,,,
1537,,N,,
1539,29,,,
1542,30,,,
1547,48,,,
1553,87,,,
1555,,N,,
1556,62,,,
1564,41,,,
1565,40,,,
1574,50,,,
1580,78,,,
1608,51,,,
1620,53,,,
1625,44,,,
1638,48,,,
1641,55,,,
1645,48,,,
1648,37,,,
1652,85,,,
1686,50,,,
1693,,N,,
1713,39,,,
1715,54,,,
1720,56,,,
1742,69,,,
1752,55,,,
1755,80,,,
1758,102,S,Cita para entregar documentación.,
1762,87,,,
1763,35,,,
1764,57,,,
1784,80,,,
1788,49,,,
1798,48,,,
1810,112,S,,
1813,74,,,
1815,56,,,
1816,85,,,
1818,57,,,
1823,79,,,
1829,63,,,
1830,52,,,
1845,86,,,
1857,47,,,
1864,65,,,
1865,74,,,
1888,68,,,
1892,47,,,
1915,64,,,
1924,,N,,
1932,43,,,
1934,49,,,
1938,37,,,
1942,58,,,
1945,65,,,
1951,56,,,
1953,67,,,
1961,48,,,
1963,39,,,
1970,54,,,
1974,106,S,,
1978,50,,,
1979,42,,,
1980,52,,,
1987,,N,,
1989,36,,,
1993,54,,,
2008,33,,,
2012,,N,,
2018,31,,,
2020,61,,,
2021,26,,,
2023,39,,,
2028,90,,,
2030,111,S,,
2054,,N,,
2056,55,,,
2057,65,,,
2060,84,,,
2063,38,,,
2069,,N,,
2081,32,,,
2084,30,,,
2090,101,S,Cita para entregar documentación.,
2093,47,,,
2098,60,,,
2106,34,,,
2107,46,,,
2113,91,,,
2118,41,,,
2125,37,,,
2126,35,,,
2129,36,,,
2140,44,,,
2149,56,,,
2166,33,,,
2168,55,,,
2174,49,,,
2180,72,,,
2189,54,,,
2190,72,,,
2195,40,,,
2197,45,,,
2205,19,,,
2206,41,,,
2223,45,,,
2228,84,,,
2240,33,,,
2243,102,S,Cita para entregar documentación.,
2244,92,,,
2251,41,,,
2254,77,,,
2266,106,S,,
2268,112,S,Cita para entregar documentación.,
2285,55,,,
2299,86,,,
2308,42,,,
2320,35,,,
2323,23,,,
2324,,N,,
2329,40,,,
2352,82,,,
2381,37,,,
2391,44,,,
2398,38,,,
2403,57,,,
2414,29,,,
2416,51,,,
2418,62,,,
2424,26,,,
2428,35,,,
2449,35,,,
2458,46,,,
2467,,N,,
2468,28,,,
2478,42,,,
2487,87,,,
2489,46,,,
2499,62,,,
2509,53,,,
2514,43,,,
2518,50,,,
2519,63,,,
2528,59,,,
2529,61,,,
2533,46,,,
2540,51,,,
2550,40,,,
2553,40,,,
2566,40,,,
2568,28,,,
2572,72,,,
2575,,N,,
2583,73,,,
2589,70,,,
2591,,N,,
2604,36,,,
2608,81,,,
2610,39,,,
2611,42,,,
2615,45,,,
2628,55,,,
2645,39,,,
2647,64,,,
2650,97,S,Cita para entregar documentación.,
2662,,N,,
2666,38,,,
2674,43,,,
2679,,N,,
2686,,N,,
2691,32,,,
2693,41,,,
2696,51,,,
2706,48,,,
2714,30,,,
2716,57,,,
2722,39,,,
2728,79,,,
2730,46,,,
2734,70,,,
2735,53,,,
2736,65,,,
2739,50,,,
2740,33,,,
2754,79,,,
2758,37,,,
2769,43,,,
2772,45,,,
2774,76,,,
2782,38,,,
2784,43,,,
2791,33,,,
2797,,N,,
2801,55,,,
2811,77,,,
2821,107,S,Cita para entregar documentación.,
2826,75,,,
2858,68,,,
2859,40,,,
2868,35,,,
2871,36,,,
2879,29,,,
2881,40,,,
2897,39,,,
2903,48,,,
2907,55,,,
2909,48,,,
2922,68,,,
2927,45,,,
2937,75,,,
2947,99,S,Cita para entregar documentación.,
2948,95,,,
2951,55,,,
2967,45,,,
2969,31,,,
2974,78,,,
2981,,N,,
2984,39,,,
2988,43,,,
2992,40,,,
3003,66,,,
3008,84,,,
3009,57,,,
3011,41,,,
3012,78,,,
3015,,N,,
3020,97,S,Cita para entregar documentación.,
3022,74,,,
3026,73,,,
3033,29,,,
3034,105,S,Cita para entregar documentación.,
3035,34,,,
3045,40,,,
3061,37,,,
3064,49,,,
3065,33,,,
3067,67,,,
3071,46,,,
3085,54,,,
3091,81,,,
3098,60,,,
3107,48,,,
3118,,N,,
3124,46,,,
3129,65,,,
3130,47,,,
3131,,N,,
3145,28,,,
3147,53,,,
3156,77,,,
3162,71,,,
3167,27,,,
3170,70,,,
3176,96,S,Cita para entregar documentación.,
3177,50,,,
3182,69,,,
3202,43,,,
3205,38,,,
3216,,N,,
3218,104,S,Cita para entregar documentación.,
3223,40,,,
3233,60,,,
3234,42,,,
3236,43,,,
3237,30,,,
3238,51,,,
3240,52,,,
3244,33,,,
3255,57,,,
3261,37,,,
3262,34,,,
3285,43,,,
3297,28,,,
3301,91,,,
3303,37,,,
3345,27,,,
3346,43,,,
3347,39,,,
3361,82,,,
3379,72,,,
3380,42,,,
3391,75,,,
3403,,N,,
3406,35,,,
3407,91,,,
3408,61,,,
3412,64,,,
3415,,N,,
3417,100,S,,
3427,106,S,,
3431,39,,,
3440,,N,,
3481,21,,,
3484,106,S,,
3520,26,,,
3548,70,,,
3566,,N,,
3599,,N,,
3603,48,,,
3609,55,,,
3610,36,,,
3614,,N,,
3615,53,,,
3621,35,,,
3624,54,,,
3628,74,,,
3635,52,,,
3657,57,,,
3659,,N,,
3663,81,,,
3665,100,S,,
3678,53,,,
3683,53,,,
3684,,N,,
3695,37,,,
3696,35,,,
3701,68,,,
3731,28,,,
3739,52,,,
3767,31,,,
3774,62,,,
3796,51,,,
3818,61,,,
3834,47,,,
3882,31,,,
3891,40,,,
3930,36,,,
3938,48,,,
3942,36,,,
3947,42,,,
3948,62,,,
3959,44,,,
3960,42,,,
3962,81,,,
3963,58,,,
3966,43,,,
3969,42,,,
3974,83,,,
3978,,N,,
3980,46,,,
3983,105,S,,
3984,102,S,Cita para entregar documentación.,
3985,45,,,
3988,53,,,
3989,37,,,
3997,42,,,
4000,55,,,
4015,110,S,,
4017,68,,,
4021,77,,,
4036,80,,,
4038,,N,,
4043,89,,,
4045,40,,,
4049,37,,,
4050,,N,,
4052,103,S,,
4053,79,,,
4061,99,S,,
4062,38,,,
4063,34,,,
4066,70,,,
4069,,N,,
4072,,N,,
4074,38,,,
4075,57,,,
4076,55,,,
4079,93,,,
4085,49,,,
4087,36,,,
4088,56,,,
4091,70,,,
4092,66,,,
4098,60,,,
4099,58,,,
4103,81,,,
4104,,N,,
4105,33,,,
4110,70,,,
4116,69,,,
4117,50,,,
4144,94,,,
4146,42,,,
4148,96,S,Cita para entregar documentación.,
4149,73,,,
4151,75,,,
4153,78,,,
4155,,N,,
4158,58,,,
4159,107,S,,
4160,83,,,
4161,47,,,
4163,25,,,
4164,54,,,
4166,36,,,
4178,82,,,
4186,50,,,
4187,52,,,
4189,41,,,
4190,42,,,
4217,33,,,
4227,,N,,
4228,40,,,
4232,57,,,
4234,96,S,Cita para entregar documentación.,
4236,78,,,
4238,85,,,
4239,90,,,
4248,73,,,
4252,35,,,
4258,74,,,
4269,102,S,,
4276,49,,,
4286,37,,,
4288,42,,,
4292,107,S,,
4294,80,,,
4295,31,,,
4302,48,,,
4304,38,,,
4305,,N,,
4320,72,,,
4326,79,,,
4332,28,,,
4344,91,,,
4360,45,,,
4364,34,,,
4370,41,,,
4371,84,,,
4373,47,,,
4374,103,S,Cita para entregar documentación.,
4375,40,,,
4379,44,,,
4380,39,,,
4385,91,,,
4387,,N,,
4390,91,,,
4391,48,,,
4398,108,S,Cita para entregar documentación.,
4414,42,,,
4418,50,,,
4421,66,,,
4427,,N,,
4430,103,S,Cita para entregar documentación.,
4432,76,,,
4435,46,,,
4437,91,,,
4440,77,,,
4446,40,,,
4447,,N,,
4451,42,,,
4453,31,,,
4456,,N,,
4470,62,,,
4471,,N,,
4472,,N,,
4476,70,,,
4479,106,S,Cita para entregar documentación.,
4481,52,,,
4485,98,S,,
4496,50,,,
4504,78,,,
4518,58,,,
4519,47,,,
4520,,N,,
4522,92,,,
4530,65,,,
4539,42,,,
4557,36,,,
4569,,N,,
4585,107,S,Cita para entregar documentación.,
4591,,N,,
4607,47,,,
4612,57,,,
4615,44,,,
4619,40,,,
4629,62,,,
4642,89,,,
4651,38,,,
4654,84,,,
4669,23,,,
4673,39,,,
4677,59,,,
4683,89,,,
4690,93,,,
4693,54,,,
4717,35,,,
4718,85,,,
4742,,N,,
4759,57,,,
4765,80,,,
4777,,N,,
4778,43,,,
4785,,N,,
4796,37,,,
4810,91,,,
4816,,N,,
4822,,N,,
4825,,N,,
4826,81,,,
4829,71,,,
4861,41,,,
4874,94,,,
4888,38,,,
4895,34,,,
4903,55,,,
4923,76,,,
4925,35,,,
4947,58,,,
4962,64,,,
4965,85,,,
4966,46,,,
4968,92,,,
4987,49,,,
5027,53,,,
5028,78,,,
5030,,,Cita para aclarar situación escolar.,
5072,62,,,
5092,,N,,
5096,37,,,
5099,90,,,
5106,94,,,
5107,59,,,
5108,47,,,
5128,56,,,
5131,60,,,
5154,65,,,
5169,42,,,
5176,64,,,
5185,,N,,
5197,66,,,
5202,50,,,
5205,37,,,
5207,112,S,Cita para entregar documentación.,
5245,98,S,,
5255,31,,,
5289,61,,,
5296,32,,,
5302,62,,,
5345,,N,,
