Número de comprobante,Aciertos,Acreditado,Detalles
8,33,,
10,66,,
13,98,,
14,73,,
20,103,,
36,105,,
47,107,,
51,95,,
58,,N,
59,99,,
64,107,,
65,105,,
67,78,,
90,72,,
108,48,,
112,66,,
114,35,,
123,97,,
124,106,,
127,,N,
134,97,,
136,41,,
152,109,S,Cita para entregar documentación.
156,,N,
167,103,,
171,,N,
189,63,,
190,,N,
192,83,,
197,,C,
222,109,S,Cita para entregar documentación.
225,38,,
231,46,,
235,77,,
240,58,,
244,111,S,Cita para entregar documentación.
251,104,,
261,79,,
267,83,,
278,66,,
282,,N,
286,32,,
308,27,,
323,106,,
331,88,,
332,34,,
352,73,,
355,44,,
360,60,,
366,44,,
372,52,,
382,108,S,Cita para entregar documentación.
388,75,,
409,59,,
413,69,,
433,99,,
434,92,,
441,88,,
442,77,,
449,35,,
455,106,,
456,45,,
464,69,,
467,23,,
470,48,,
471,86,,
472,64,,
476,,N,
479,55,,
486,67,,
488,104,,
496,104,,
497,93,,
498,34,,
504,84,,
505,,N,
506,95,,
514,58,,
516,72,,
522,,N,
552,89,,
553,,C,
556,43,,
558,31,,
570,40,,
578,65,,
579,42,,
583,93,,
584,50,,
601,,N,
611,50,,
622,60,,
636,74,,
637,92,,
639,108,S,Cita para entregar documentación.
654,107,,
659,82,,
665,101,,
667,105,,
675,89,,
679,36,,
684,80,,
688,41,,
704,54,,
715,,N,
721,57,,
734,111,S,Cita para entregar documentación.
749,,N,
771,51,,
779,57,,
780,91,,
787,55,,
796,49,,
801,22,,
804,109,S,Cita para entregar documentación.
811,46,,
813,43,,
817,40,,
820,59,,
821,59,,
825,49,,
826,98,,
835,91,,
836,101,,
837,52,,
848,53,,
854,116,S,Cita para entregar documentación.
857,109,S,Cita para entregar documentación.
859,31,,
860,79,,
864,38,,
866,91,,
868,61,,
869,103,,
875,96,,
877,33,,
881,58,,
901,55,,
902,39,,
918,88,,
919,95,,
928,97,,
940,37,,
943,18,,
944,60,,
956,48,,
957,48,,
975,47,,
977,,N,
988,109,S,Cita para entregar documentación.
996,54,,
1003,85,,
1016,30,,
