Número de comprobante,Aciertos,Acreditado,Detalles
20,72,,
23,48,,
35,108,S,Cita para entregar documentación.
42,50,,
45,44,,
65,,N,
122,65,,
139,56,,
147,56,,
149,47,,
181,29,,
289,110,S,Cita para entregar documentación.
297,44,,
323,69,,
337,46,,
359,34,,
363,,N,
384,80,,
393,72,,
474,,N,
486,69,,
492,60,,
548,110,S,Cita para entregar documentación.
575,,N,
610,77,,
621,70,,
623,92,,
677,51,,
753,36,,
792,35,,
815,69,,
827,60,,
855,110,S,Cita para entregar documentación.
867,39,,
885,68,,
886,77,,
901,57,,
934,38,,
1095,98,,
1135,75,,
1173,77,,
1188,35,,
1373,,N,
1424,,N,
1465,92,,
1485,55,,
1486,51,,
1519,94,,
1590,33,,
1716,32,,
1731,40,,
1758,63,,
1767,,N,
1772,59,,
1922,51,,
1939,,N,
1980,,N,
2011,48,,
2055,31,,
2151,38,,
2154,38,,
2209,48,,
2212,63,,
2219,46,,
2256,47,,
2300,72,,
2320,,N,
2338,117,S,
2339,108,S,
2420,49,,
2450,75,,
2480,,N,
2539,113,S,
2556,47,,
2572,83,,
2596,39,,
2617,44,,
2701,49,,
2705,69,,
2724,,N,
2746,61,,
2747,55,,
2769,66,,
2775,90,,
2787,98,,
2802,85,,
2809,84,,
2828,101,,
2835,96,,
2863,,N,
2881,90,,
2925,46,,
2929,,N,
2978,101,,
3025,83,,
3031,60,,
3032,,N,
3092,83,,
3153,33,,
3170,71,,
3194,87,,
3217,25,,
3225,54,,
3261,71,,
3315,86,,
3319,65,,
3348,60,,
3366,33,,
3380,86,,
3458,51,,
3581,49,,
3587,41,,
3595,97,,
3623,28,,
3646,63,,
3705,64,,
3719,34,,
3720,,N,
3832,75,,
3866,40,,
3881,106,S,
3894,68,,
3923,54,,
3950,65,,
3973,40,,
4002,40,,
4016,75,,
4022,26,,
4034,50,,
4053,96,,
4102,45,,
4108,40,,
4135,,N,
4139,33,,
4246,45,,
4275,65,,
4306,45,,
4333,41,,
4351,55,,
4392,29,,
4406,55,,
4446,54,,
4490,46,,
4511,47,,
4535,82,,
4539,69,,
4571,39,,
4579,82,,
4627,40,,
4631,35,,
4635,,N,
4645,46,,
4649,50,,
4658,64,,
4676,,N,
4698,85,,
4733,53,,
4752,66,,
4761,93,,
4792,34,,
4833,55,,
4871,,N,
4936,37,,
4943,52,,
4957,38,,
4971,,N,
4982,25,,
4990,65,,
4996,102,S,Cita para entregar documentación.
5004,67,,
5017,30,,
5033,48,,
5046,64,,
5058,90,,
5103,,N,
5141,,N,
5157,65,,
5158,89,,
5251,21,,
5278,93,,
5289,23,,
5368,40,,
5410,,N,
5439,30,,
5443,104,S,Cita para entregar documentación.
5490,38,,
5496,35,,
5587,33,,
5629,,N,
5690,65,,
5734,61,,
5766,35,,
5808,41,,
5810,68,,
5821,49,,
5833,39,,
5842,,,Cita para aclarar situación escolar.
5874,61,,
5881,49,,
5888,44,,
5889,59,,
5926,49,,
5945,49,,
5958,49,,
5970,61,,
6016,44,,
6017,82,,
6050,108,S,Cita para entregar documentación.
6073,84,,
6081,34,,
6088,53,,
6113,96,,
6134,66,,
6155,81,,
6156,70,,
6182,36,,
6206,,N,
6210,71,,
6220,74,,
6231,85,,
6314,45,,
6348,59,,
6354,32,,
6407,40,,
6422,38,,
6448,39,,
6548,100,,
6561,44,,
6587,24,,
6607,44,,
6626,29,,
6644,60,,
6667,,N,
6757,81,,
6761,78,,
6784,,N,
6798,37,,
6816,114,S,Cita para entregar documentación.
6822,56,,
6830,,N,
6851,36,,
6872,34,,
6875,78,,
6891,80,,
6915,30,,
6937,67,,
7024,53,,
7041,34,,
7063,70,,
7125,37,,
7156,110,S,
7161,59,,
7210,76,,
7229,73,,
7259,29,,
7274,70,,
7295,89,,
7399,61,,
7408,58,,
7482,71,,
7484,,N,
7493,47,,
7542,,N,
7580,76,,
7607,36,,
7609,60,,
7637,98,,
7646,44,,
7667,49,,
7679,46,,
7692,108,S,
7700,41,,
7744,56,,
7754,38,,
7783,79,,
7803,53,,
7820,44,,
7933,50,,
7955,,N,
7961,44,,
8044,61,,
8091,,N,
8097,62,,
8107,39,,
8110,66,,
8120,41,,
8124,47,,
8162,32,,
8195,90,,
8283,37,,
8318,58,,
8327,76,,
8356,35,,
8452,,N,
8455,62,,
8460,26,,
8523,53,,
8524,31,,
8602,56,,
8624,81,,
8650,45,,
