Número de comprobante,Aciertos,Acreditado,Detalles
69,,N,
73,,N,
97,,N,
118,58,,
140,112,S,Cita para entregar documentación.
212,75,,
219,71,,
231,41,,
247,100,,
257,70,,
272,100,,
294,99,,
380,103,,
438,70,,
454,112,S,Cita para entregar documentación.
461,,N,
472,,N,
502,45,,
521,48,,
575,55,,
607,,N,
608,114,S,Cita para entregar documentación.
617,61,,
618,53,,
625,,N,
656,110,S,Cita para entregar documentación.
667,57,,
670,79,,
680,68,,
696,,N,
697,108,S,Cita para entregar documentación.
720,89,,
739,95,,
745,,N,
749,70,,
750,71,,
756,,N,
801,63,,
808,35,,
842,82,,
867,88,,
883,86,,
892,112,S,Cita para entregar documentación.
900,,N,
909,74,,
921,,N,
923,95,,
930,113,S,
945,,N,
967,68,,
969,83,,
978,,N,
981,,N,
984,99,,
987,,N,
990,86,,
1000,47,,
1026,113,S,Cita para entregar documentación.
1030,102,,
1040,,N,
1052,75,,
1054,92,,
1060,110,S,Cita para entregar documentación.
1070,67,,
1102,51,,
1113,,N,
1122,85,,
1131,107,S,Cita para entregar documentación.
1142,33,,
1173,,N,
1176,109,S,Cita para entregar documentación.
1193,,N,
1218,99,,
1221,84,,
1225,94,,
1244,116,S,Cita para entregar documentación.
1274,69,,
1290,51,,
1308,75,,
1331,70,,
1350,105,S,Cita para entregar documentación.
1353,,N,
1365,105,S,Cita para entregar documentación.
1387,,N,
1401,,N,
1403,60,,
1406,,N,
1413,,N,
1427,95,,
1457,110,S,Cita para entregar documentación.
1460,87,,
1481,97,,
1488,52,,
1494,113,S,
1498,96,,
1513,95,,
1533,110,S,Cita para entregar documentación.
1536,85,,
1582,65,,
1599,33,,
1663,109,S,Cita para entregar documentación.
1665,84,,
1692,78,,
1772,60,,
1776,96,,
1792,65,,
1811,54,,
1921,63,,
2086,93,,
2112,76,,
2180,,N,
2199,104,,
2279,,N,
2373,68,,
2434,92,,
2469,67,,
2491,77,,
2505,,N,
2511,59,,
2591,98,,
2601,41,,
2623,57,,
2671,107,S,Cita para entregar documentación.
2689,47,,
2696,64,,
2755,49,,
2780,67,,
2841,98,,
2890,55,,
2905,56,,
2909,110,S,Cita para entregar documentación.
2916,,,Cita para aclarar situación escolar.
2927,82,,
2960,59,,
3030,66,,
3057,,N,
3089,87,,
3113,,N,
3127,92,,
3176,93,,
3200,107,S,Cita para entregar documentación.
3226,40,,
3454,59,,
3472,78,,
3510,55,,
3547,44,,
3657,106,S,Cita para entregar documentación.
3703,97,,
3906,45,,
4006,102,,
4059,97,,
4073,54,,
4120,,N,
4289,62,,
4298,89,,
4318,59,,
4339,36,,
4355,48,,
4376,56,,
4399,111,S,Cita para entregar documentación.
4407,108,S,
4474,,N,
4496,42,,
4529,66,,
4596,45,,
4605,105,S,Cita para entregar documentación.
4648,46,,
4662,115,S,Cita para entregar documentación.
4725,58,,
4757,69,,
4765,97,,
4806,88,,
4850,58,,
4872,50,,
4878,107,S,
4917,43,,
4925,97,,
4938,78,,
4956,99,,
4986,73,,
4988,30,,
5004,59,,
5197,71,,
5210,68,,
5259,63,,
5301,42,,
5332,59,,
5336,47,,
5354,62,,
5437,61,,
5442,38,,
5464,42,,
5523,62,,
5524,78,,
5588,82,,
5590,88,,
5663,,N,
5680,87,,
5692,63,,
5714,78,,
5749,41,,
5764,50,,
5772,39,,
5866,73,,
5878,78,,
5882,40,,
5929,68,,
5941,,N,
5943,,N,
5971,46,,
5975,92,,
6022,,N,
6048,56,,
6105,,N,
6330,74,,
6342,92,,
6350,75,,
6374,52,,
6383,104,,
6393,,N,
6405,,N,
6417,67,,
6494,,N,
6531,53,,
6643,51,,
6696,61,,
6730,,N,
6752,55,,
6782,96,,
6813,91,,
6846,78,,
6916,73,,
6985,75,,
7038,104,,
7086,,N,
7130,,N,
7151,70,,
7170,,N,
7178,,N,
7180,103,,
7183,94,,
7200,84,,
7230,,N,
7260,80,,
7265,96,,
7393,60,,
7434,113,S,
7531,58,,
7547,58,,
7726,49,,
7748,45,,
7887,,N,
7900,50,,
7913,69,,
7943,83,,
7952,87,,
7955,44,,
7981,,N,
8013,75,,
8075,112,S,
8087,58,,
8118,83,,
8178,50,,
8200,108,S,Cita para entregar documentación.
8226,80,,
8237,52,,
8272,78,,
8328,92,,
8433,75,,
8483,67,,
8495,104,,
8579,79,,
8612,94,,
8634,114,S,
8638,83,,
8679,64,,
8681,62,,
8686,93,,
8696,95,,
8733,56,,
8744,55,,
8760,,,Cita para aclarar situación escolar.
8778,,,Cita para aclarar situación escolar.
8913,36,,
8963,65,,
8978,85,,
9003,53,,
9087,68,,
9100,65,,
9358,40,,
9363,43,,
9429,100,,
9456,,N,
9496,87,,
9506,88,,
