Número de comprobante,Aciertos,Acreditado,Detalles
186,60,,
260,115,S,
425,53,,
876,,C,
987,43,,
1068,91,,
1186,55,,
1292,105,S,Cita para entregar documentación.
1312,111,S,Cita para entregar documentación.
2262,,N,
2409,81,,
2560,,N,
2763,60,,
2931,,N,
2953,58,,
3910,,N,
4464,,N,
4780,,C,
5178,105,S,
6127,,N,
6129,,N,
6285,,N,
6699,106,S,Cita para entregar documentación.
6901,56,,
6964,63,,
7196,91,,
7221,70,,
7481,,N,
7738,,N,
7765,80,,
7977,112,S,
8129,101,S,
8330,103,S,Cita para entregar documentación.
8355,31,,
8366,61,,
8387,42,,
9038,88,,
9213,91,,
9275,63,,
9397,84,,
9542,54,,
9992,,N,
10482,,C,
10781,,N,
10874,95,,
11099,98,,
11312,48,,
11454,,N,
11847,80,,
11926,96,,
12305,85,,
12332,65,,
12488,106,S,Cita para entregar documentación.
12835,94,,
13003,75,,
13011,107,S,Cita para entregar documentación.
13457,49,,
13524,57,,
13641,46,,
13798,75,,
13882,78,,
14078,91,,
14358,,N,
14786,,N,
15755,95,,
15984,89,,
16204,93,,
16493,74,,
16495,,N,
16651,98,,
16710,101,S,
16759,59,,
16887,113,S,Cita para entregar documentación.
16889,90,,
17203,88,,
17319,91,,
17468,56,,
17513,113,S,Cita para entregar documentación.
17551,110,S,Cita para entregar documentación.
17622,44,,
17673,51,,
17682,104,S,Cita para entregar documentación.
17988,104,S,Cita para entregar documentación.
18033,85,,
18170,,N,
18254,,N,
18478,115,S,Cita para entregar documentación.
18529,99,,
18605,37,,
18613,85,,
18772,41,,
18872,112,S,
18911,40,,
19118,95,,
19429,71,,
19507,105,S,
19594,73,,
20036,79,,
20122,98,,
20363,72,,
20768,112,S,
21232,115,S,Cita para entregar documentación.
21507,61,,
21514,104,S,Cita para entregar documentación.
21672,,N,
21922,,N,
22015,34,,
22098,109,S,Cita para entregar documentación.
22147,63,,
22237,112,S,Cita para entregar documentación.
22283,110,S,
22609,94,,
22713,84,,
23084,107,S,Cita para entregar documentación.
23086,96,,
23378,89,,
23975,,N,
24132,,N,
24293,112,S,Cita para entregar documentación.
24611,37,,
26424,,N,
26536,112,S,Cita para entregar documentación.
26713,93,,
26986,114,S,Cita para entregar documentación.
27234,,N,
28021,78,,
28031,,N,
28239,98,,
28348,89,,
28692,87,,
28694,110,S,
28700,92,,
28841,75,,
29117,77,,
29126,71,,
29790,77,,
30111,94,,
30172,82,,
30380,84,,
30646,52,,
30677,103,S,Cita para entregar documentación.
30678,90,,
30738,,N,
30879,,N,
30910,99,,
30921,,N,
31093,100,S,Cita para entregar documentación.
31121,109,S,Cita para entregar documentación.
31185,101,S,Cita para entregar documentación.
31207,79,,
31401,,N,
31421,,N,
31475,51,,
31667,65,,
31747,102,S,Cita para entregar documentación.
32222,88,,
32255,,N,
32312,98,,
32372,,N,
32501,103,S,
32541,83,,
32856,63,,
32949,35,,
33038,,N,
33084,103,S,Cita para entregar documentación.
33088,114,S,Cita para entregar documentación.
33275,107,S,Cita para entregar documentación.
33344,,N,
33679,84,,
33781,115,S,Cita para entregar documentación.
33786,97,,
33857,86,,
33858,87,,
33859,57,,
34056,89,,
34134,102,S,Cita para entregar documentación.
34297,98,,
34320,84,,
34488,91,,
34593,50,,
34965,79,,
35000,,N,
35330,81,,
35434,85,,
36033,73,,
36053,,N,
36066,,N,
