Número de comprobante,Aciertos,Acreditado,Detalles
38,88,S,
190,55,,
279,45,,
341,42,,
597,85,S,Cita para entregar documentación.
637,,N,
702,,N,
829,113,S,Cita para entregar documentación.
939,84,S,Cita para entregar documentación.
1004,106,S,Cita para entregar documentación.
1010,,N,
1093,105,S,Cita para entregar documentación.
1255,36,,
1256,97,S,Cita para entregar documentación.
1357,,N,
1449,107,S,Cita para entregar documentación.
1498,102,S,
1701,54,,
2118,36,,
2231,97,S,
2283,109,S,Cita para entregar documentación.
2296,46,,
2321,49,,
2343,78,S,Cita para entregar documentación.
2376,,N,
2406,106,S,Cita para entregar documentación.
2408,,N,
2436,94,S,
2531,,N,
2554,31,,
2557,104,S,
2720,,N,
2799,,N,
2856,89,S,
2923,66,,
2936,67,,
3003,84,S,Cita para entregar documentación.
3021,78,S,Cita para entregar documentación.
3065,107,S,Cita para entregar documentación.
3093,109,S,Cita para entregar documentación.
3499,96,S,Cita para entregar documentación.
3539,54,,
3558,,N,
3573,29,,
3629,109,S,
3663,62,,
3822,69,,
3912,107,S,
4039,44,,
4045,92,S,Cita para entregar documentación.
4188,52,,
4227,93,S,
4453,48,,
4584,86,S,Cita para entregar documentación.
4630,115,S,Cita para entregar documentación.
4632,115,S,Cita para entregar documentación.
4674,75,S,Cita para entregar documentación.
4908,,N,
4909,81,S,
5122,102,S,Cita para entregar documentación.
5163,96,S,Cita para entregar documentación.
5267,,,Cita para aclarar situación escolar.
5339,87,S,Cita para entregar documentación.
5363,36,,
5445,52,,
5514,49,,
5550,46,,
5603,98,S,
5653,98,S,Cita para entregar documentación.
5763,65,,
5831,64,,
6026,82,S,Cita para entregar documentación.
6036,51,,
6122,113,S,
6159,76,S,
6230,86,S,
6238,,N,
6298,46,,
6340,53,,
6389,75,S,Cita para entregar documentación.
6497,102,S,
6537,114,S,Cita para entregar documentación.
6588,107,S,Cita para entregar documentación.
6592,,,Cita para aclarar situación escolar.
6671,66,,
6807,55,,
6826,62,,
6842,70,,
6949,50,,
7022,103,S,Cita para entregar documentación.
7288,85,S,
7306,42,,
7377,,N,
7445,44,,
7461,50,,
7589,60,,
7612,,N,
7669,,N,
7742,47,,
7872,108,S,
8028,110,S,
8158,109,S,Cita para entregar documentación.
8264,101,S,
8361,57,,
8834,85,S,Cita para entregar documentación.
8866,,N,
9004,107,S,Cita para entregar documentación.
9009,58,,
9123,103,S,
9236,,N,
9463,96,S,Cita para entregar documentación.
9705,100,S,
9796,37,,
9929,52,,
9958,46,,
9995,,N,
10024,64,,
10200,63,,
10253,63,,
10432,50,,
10474,,N,
10540,83,S,Cita para entregar documentación.
10857,,N,
10875,,,Cita para aclarar situación escolar.
10883,91,S,Cita para entregar documentación.
10948,83,S,Cita para entregar documentación.
10960,73,,
11058,75,S,Cita para entregar documentación.
11127,,N,
11150,62,,
11220,109,S,Cita para entregar documentación.
11252,76,S,Cita para entregar documentación.
11260,97,S,
11312,,N,
11547,109,S,
11716,45,,
11767,51,,
11824,,N,
11830,,,Cita para aclarar situación escolar.
11839,74,,
11959,99,S,Cita para entregar documentación.
12088,102,S,
12180,35,,
12296,99,S,Cita para entregar documentación.
12427,43,,
12449,70,,
12458,38,,
12491,39,,
12544,50,,
12598,97,S,
12608,77,S,Cita para entregar documentación.
12759,92,S,Cita para entregar documentación.
12906,,N,
12915,74,,
12956,,,Cita para aclarar situación escolar.
13049,66,,
13140,84,S,Cita para entregar documentación.
13221,80,S,Cita para entregar documentación.
13251,101,S,Cita para entregar documentación.
13359,,N,
13543,76,S,Cita para entregar documentación.
13570,69,,
13578,,N,
13594,114,S,
13637,,,Cita para aclarar situación escolar.
13770,76,S,Cita para entregar documentación.
13809,74,,
14059,116,S,
14080,52,,
14266,45,,
14357,36,,
14486,68,,
14625,102,S,Cita para entregar documentación.
14638,77,S,
14697,92,S,
14724,79,S,Cita para entregar documentación.
15013,76,S,Cita para entregar documentación.
15022,100,S,Cita para entregar documentación.
15107,,N,
15126,49,,
15176,109,S,Cita para entregar documentación.
15180,54,,
15257,88,S,
15310,101,S,
15331,,N,
15348,95,S,
15409,78,S,
15494,83,S,Cita para entregar documentación.
15579,98,S,
15647,96,S,Cita para entregar documentación.
15857,37,,
15944,77,S,Cita para entregar documentación.
15994,,N,
16018,76,S,
16036,41,,
16046,,N,
16102,76,S,Cita para entregar documentación.
16233,39,,
16584,93,S,Cita para entregar documentación.
16642,45,,
16653,60,,
16710,,N,
16761,61,,
17030,86,S,Cita para entregar documentación.
17106,,N,
17107,54,,
17189,,N,
17396,50,,
17443,78,S,
17579,73,,
17662,45,,
17685,58,,
17739,107,S,Cita para entregar documentación.
18045,37,,
18166,86,S,Cita para entregar documentación.
18214,60,,
18782,90,S,
19102,56,,
19184,38,,
19257,55,,
19283,44,,
19457,52,,
19478,45,,
19516,70,,
19518,36,,
19595,72,,
19602,41,,
19613,54,,
19619,46,,
19704,67,,
19705,84,S,
19834,86,S,Cita para entregar documentación.
19914,87,S,Cita para entregar documentación.
19922,59,,
19931,55,,
20163,102,S,Cita para entregar documentación.
20213,54,,
20231,,N,
20576,80,S,Cita para entregar documentación.
20607,41,,
20808,107,S,Cita para entregar documentación.
20839,,N,
20929,34,,
21090,47,,
21109,85,S,Cita para entregar documentación.
21486,,N,
21580,33,,
21628,73,,
21644,110,S,
21926,59,,
21976,,N,
22246,82,S,Cita para entregar documentación.
22450,35,,
22749,79,S,Cita para entregar documentación.
22771,70,,
23004,110,S,
23108,105,S,
23219,,N,
23228,,N,
23408,41,,
23597,69,,
23603,48,,
23728,45,,
24096,,,Cita para aclarar situación escolar.
24101,88,S,
24203,92,S,Cita para entregar documentación.
24294,63,,
24392,112,S,
24481,30,,
24535,92,S,
24690,,,Cita para aclarar situación escolar.
24697,83,S,Cita para entregar documentación.
24748,111,S,Cita para entregar documentación.
25257,,,Cita para aclarar situación escolar.
25266,106,S,
25429,44,,
25475,,,Cita para aclarar situación escolar.
25729,94,S,Cita para entregar documentación.
25759,,N,
25791,63,,
25854,86,S,Cita para entregar documentación.
25927,99,S,
25930,,N,
26019,93,S,Cita para entregar documentación.
26312,74,,
26369,89,S,
26537,78,S,Cita para entregar documentación.
26737,72,,
27117,68,,
27127,91,S,Cita para entregar documentación.
27365,,N,
27371,,N,
27466,,N,
27737,59,,
27906,106,S,Cita para entregar documentación.
27913,67,,
27928,80,S,Cita para entregar documentación.
27938,,N,
28115,52,,
28152,,N,
28166,102,S,
28234,78,S,Cita para entregar documentación.
28383,53,,
28542,48,,
28603,88,S,Cita para entregar documentación.
28831,111,S,Cita para entregar documentación.
28930,96,S,Cita para entregar documentación.
28950,,,Cita para aclarar situación escolar.
28961,62,,
28989,40,,
28993,46,,
29023,,N,
29053,37,,
29211,71,,
29449,95,S,Cita para entregar documentación.
29584,38,,
30014,109,S,Cita para entregar documentación.
30068,100,S,Cita para entregar documentación.
30071,80,S,Cita para entregar documentación.
30090,,N,
30114,66,,
30135,76,S,Cita para entregar documentación.
30289,,N,
30345,53,,
30354,,N,
30370,69,,
30390,,N,
30415,107,S,Cita para entregar documentación.
30417,,N,
30425,97,S,Cita para entregar documentación.
30455,112,S,Cita para entregar documentación.
30464,90,S,Cita para entregar documentación.
30465,95,S,Cita para entregar documentación.
30565,96,S,Cita para entregar documentación.
30594,69,,
30661,44,,
30695,51,,
30711,113,S,Cita para entregar documentación.
30747,81,S,Cita para entregar documentación.
31004,50,,
31026,111,S,Cita para entregar documentación.
31087,,N,
31099,45,,
31234,,N,
31391,58,,
31460,85,S,Cita para entregar documentación.
31540,,N,
31547,83,S,Cita para entregar documentación.
31664,103,S,Cita para entregar documentación.
31791,113,S,Cita para entregar documentación.
31808,77,S,Cita para entregar documentación.
32190,44,,
32289,56,,
32299,89,S,Cita para entregar documentación.
32429,56,,
32431,99,S,Cita para entregar documentación.
32445,98,S,Cita para entregar documentación.
32600,72,,
32609,106,S,Cita para entregar documentación.
32611,,N,
32694,94,S,Cita para entregar documentación.
32702,42,,
32721,87,S,Cita para entregar documentación.
32965,,N,
33091,98,S,Cita para entregar documentación.
33127,,N,
33558,94,S,Cita para entregar documentación.
33574,,N,
33654,,N,
33810,,N,
33812,,N,
33852,,,Cita para aclarar situación escolar.
33932,,N,
34242,44,,
34505,,N,
34586,,N,
34604,,N,
34610,33,,
34832,,N,
34892,,N,
35061,71,,
35067,83,S,Cita para entregar documentación.
35086,78,S,Cita para entregar documentación.
35119,112,S,Cita para entregar documentación.
35231,115,S,Cita para entregar documentación.
35299,68,,
35382,93,S,Cita para entregar documentación.
35908,63,,
35909,,N,
36513,88,S,Cita para entregar documentación.
36516,,N,
36619,,N,
36629,,N,
36630,110,S,Cita para entregar documentación.
36632,58,,
36640,76,S,Cita para entregar documentación.
36654,46,,
36655,,N,
36670,,N,
36679,90,S,Cita para entregar documentación.
36764,22,,
36792,44,,
36823,,N,
36829,105,S,Cita para entregar documentación.
36842,93,S,
36843,113,S,Cita para entregar documentación.
36862,,N,
36866,85,S,Cita para entregar documentación.
36879,54,,
36880,81,S,Cita para entregar documentación.
36896,107,S,Cita para entregar documentación.
36898,,N,
