Número de comprobante,Aciertos,Acreditado,Detalles
436,70,,
586,91,S,
1376,53,,
1573,,,Cita para aclarar situación escolar.
2160,40,,
2430,40,,
2496,,,Cita para aclarar situación escolar.
2681,39,,
2963,72,,
3316,67,,
3852,67,,
4269,41,,
4310,87,S,Cita para entregar documentación.
4324,90,S,
4857,32,,
4983,81,S,Cita para entregar documentación.
5369,84,S,Cita para entregar documentación.
5736,32,,
5825,83,S,Cita para entregar documentación.
5978,61,,
6667,37,,
6859,63,,
6921,31,,
7250,87,S,
7707,76,,
7786,68,,
7855,66,,
8012,86,S,
8104,,N,
8645,41,,
8743,,N,
8840,50,,
9782,74,,
9860,45,,
10053,83,S,
10277,58,,
10313,90,S,Cita para entregar documentación.
10339,73,,
10362,42,,
11096,50,,
11432,75,,
11648,75,,
11675,56,,
12802,43,,
12851,39,,
13709,63,,
13796,38,,
13922,30,,
14039,,N,
14068,60,,
14111,36,,
14329,56,,
14509,29,,
14545,40,,
14695,67,,
14767,69,,
14768,62,,
15110,71,,
15285,43,,
15915,41,,
16237,74,,
16344,78,S,Cita para entregar documentación.
16623,63,,
16789,33,,
17108,71,,
17173,75,,
17327,35,,
17706,64,,
17720,56,,
18294,49,,
19557,86,S,
19561,42,,
19679,44,,
19759,37,,
19844,,,Cita para aclarar situación escolar.
19939,65,,
20001,53,,
20665,61,,
21894,,N,
22072,63,,
22205,54,,
22371,57,,
23213,33,,
23400,89,S,
23830,48,,
25006,99,S,
25201,76,,
25393,37,,
26242,41,,
26813,100,S,
26819,75,,
27034,56,,
27045,38,,
27225,35,,
27860,40,,
28068,,N,
28197,61,,
28946,,,Cita para aclarar situación escolar.
29290,51,,
29842,,N,
30084,,N,
30156,83,S,Cita para entregar documentación.
30517,72,,
30904,43,,
31011,,N,
31559,62,,
31705,82,S,
31898,,N,
33324,63,,
33590,,N,
34007,102,S,Cita para entregar documentación.
34353,40,,
36063,47,,
36155,45,,
36617,,N,
37334,89,S,Cita para entregar documentación.
37335,63,,
37374,101,S,Cita para entregar documentación.
37463,,N,
37690,79,S,Cita para entregar documentación.
