Número de comprobante,Aciertos,Acreditado,Detalles,Facultad
57,37,,,FACULTAD DE ARQUITECTURA
63,105,S,Cita para entregar documentación.,FACULTAD DE ARQUITECTURA
345,74,,,FACULTAD DE ARQUITECTURA
525,106,S,,FACULTAD DE ARQUITECTURA
641,62,,,FACULTAD DE ARQUITECTURA
753,,C,,FACULTAD DE ARQUITECTURA
853,109,S,Cita para entregar documentación.,FACULTAD DE ARQUITECTURA
945,110,S,,FACULTAD DE ARQUITECTURA
1125,,C,,FACULTAD DE ARQUITECTURA
1303,40,,,FACULTAD DE ARQUITECTURA
1498,85,,,FACULTAD DE ARQUITECTURA
1761,57,,,FACULTAD DE ARQUITECTURA
1886,92,,,FACULTAD DE ARQUITECTURA
1919,,N,,FACULTAD DE ARQUITECTURA
2336,55,,,FACULTAD DE ARQUITECTURA
2353,,C,,FACULTAD DE ARQUITECTURA
4502,75,,,FACULTAD DE ARQUITECTURA
4798,,N,,FACULTAD DE ARQUITECTURA
5156,,N,,FACULTAD DE ARQUITECTURA
5169,98,,,FACULTAD DE ARQUITECTURA
6541,81,,,FACULTAD DE ARQUITECTURA
6845,89,,,FACULTAD DE ARQUITECTURA
6937,93,,,FACULTAD DE ARQUITECTURA
8436,65,,,FACULTAD DE ARQUITECTURA
8898,101,S,,FACULTAD DE ARQUITECTURA
8903,83,,,FACULTAD DE ARQUITECTURA
8952,106,S,Cita para entregar documentación.,FACULTAD DE ARQUITECTURA
9268,55,,,FACULTAD DE ARQUITECTURA
9312,43,,,FACULTAD DE ARQUITECTURA
9504,91,,,FACULTAD DE ARQUITECTURA
9713,76,,,FACULTAD DE ARQUITECTURA
9803,98,,,FACULTAD DE ARQUITECTURA
9952,70,,,FACULTAD DE ARQUITECTURA
9967,58,,,FACULTAD DE ARQUITECTURA
9979,70,,,FACULTAD DE ARQUITECTURA
10339,100,S,,FACULTAD DE ARQUITECTURA
10463,59,,,FACULTAD DE ARQUITECTURA
10684,85,,,FACULTAD DE ARQUITECTURA
10939,65,,,FACULTAD DE ARQUITECTURA
11180,67,,,FACULTAD DE ARQUITECTURA
11567,68,,,FACULTAD DE ARQUITECTURA
11710,,N,,FACULTAD DE ARQUITECTURA
11810,87,,,FACULTAD DE ARQUITECTURA
12232,45,,,FACULTAD DE ARQUITECTURA
12340,40,,,FACULTAD DE ARQUITECTURA
12398,102,S,,FACULTAD DE ARQUITECTURA
12590,95,,,FACULTAD DE ARQUITECTURA
12591,93,,,FACULTAD DE ARQUITECTURA
12765,22,,,FACULTAD DE ARQUITECTURA
13664,60,,,FACULTAD DE ARQUITECTURA
14048,,N,,FACULTAD DE ARQUITECTURA
14136,104,S,,FACULTAD DE ARQUITECTURA
14350,48,,,FACULTAD DE ARQUITECTURA
14551,51,,,FACULTAD DE ARQUITECTURA
15075,83,,,FACULTAD DE ARQUITECTURA
15215,43,,,FACULTAD DE ARQUITECTURA
15393,83,,,FACULTAD DE ARQUITECTURA
15548,,N,,FACULTAD DE ARQUITECTURA
15618,,N,,FACULTAD DE ARQUITECTURA
15693,58,,,FACULTAD DE ARQUITECTURA
15946,47,,,FACULTAD DE ARQUITECTURA
15965,90,,,FACULTAD DE ARQUITECTURA
16121,49,,,FACULTAD DE ARQUITECTURA
16152,42,,,FACULTAD DE ARQUITECTURA
16504,49,,,FACULTAD DE ARQUITECTURA
17025,62,,,FACULTAD DE ARQUITECTURA
17306,59,,,FACULTAD DE ARQUITECTURA
17535,,N,,FACULTAD DE ARQUITECTURA
17536,86,,,FACULTAD DE ARQUITECTURA
17659,,N,,FACULTAD DE ARQUITECTURA
17764,38,,,FACULTAD DE ARQUITECTURA
17834,101,S,,FACULTAD DE ARQUITECTURA
18041,85,,,FACULTAD DE ARQUITECTURA
18425,30,,,FACULTAD DE ARQUITECTURA
19248,,N,,FACULTAD DE ARQUITECTURA
19315,64,,,FACULTAD DE ARQUITECTURA
19401,57,,,FACULTAD DE ARQUITECTURA
19834,68,,,FACULTAD DE ARQUITECTURA
20038,104,S,Cita para entregar documentación.,FACULTAD DE ARQUITECTURA
20340,84,,,FACULTAD DE ARQUITECTURA
20896,58,,,FACULTAD DE ARQUITECTURA
21381,83,,,FACULTAD DE ARQUITECTURA
21400,94,,,FACULTAD DE ARQUITECTURA
21658,101,S,Cita para entregar documentación.,FACULTAD DE ARQUITECTURA
21939,102,S,Cita para entregar documentación.,FACULTAD DE ARQUITECTURA
22223,,C,,FACULTAD DE ARQUITECTURA
22357,90,,,FACULTAD DE ARQUITECTURA
